epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4034.81,0.31963,0.3674,0.90234,0.94857,0.94382,0.96342,0.85563,0.52885,0.39044,0.98139,0.008614,0.008614,0.008614
44,4130.63,0.31515,0.36675,0.90081,0.93855,0.94075,0.95987,0.85906,0.51207,0.39372,0.94609,0.008581,0.008581,0.008581
45,4224.79,0.31549,0.36704,0.89722,0.92764,0.95622,0.96775,0.87287,0.49449,0.36901,0.93687,0.008548,0.008548,0.008548
46,4319.72,0.31082,0.3628,0.89778,0.95502,0.93627,0.96383,0.86917,0.51607,0.37199,0.94223,0.008515,0.008515,0.008515
47,4414.56,0.31576,0.36301,0.90105,0.95498,0.9533,0.96821,0.88189,0.49937,0.35837,0.93495,0.008482,0.008482,0.008482
48,4509.98,0.30349,0.35401,0.89569,0.93956,0.95551,0.97004,0.87379,0.50654,0.3604,0.93867,0.008449,0.008449,0.008449
49,4607,0.30388,0.34694,0.89654,0.96167,0.95806,0.97232,0.88367,0.48982,0.34079,0.93194,0.008416,0.008416,0.008416
50,4703.8,0.30674,0.35391,0.89782,0.95003,0.95896,0.96475,0.87432,0.49023,0.35352,0.93029,0.008383,0.008383,0.008383
51,4798.54,0.30899,0.35717,0.89725,0.94674,0.96305,0.97147,0.8857,0.47348,0.3446,0.91275,0.00835,0.00835,0.00835
52,4892.79,0.30179,0.34129,0.89766,0.94004,0.97229,0.97297,0.88057,0.49426,0.33986,0.93025,0.008317,0.008317,0.008317
53,4990,0.30498,0.35309,0.8989,0.9637,0.95967,0.9714,0.88011,0.50041,0.33698,0.93204,0.008284,0.008284,0.008284
54,5086.75,0.29774,0.34213,0.89364,0.9628,0.95372,0.96533,0.87463,0.48962,0.35441,0.92962,0.008251,0.008251,0.008251
55,5181.75,0.30526,0.3441,0.89849,0.95244,0.94965,0.96757,0.88734,0.4626,0.34716,0.91402,0.008218,0.008218,0.008218
56,5276.62,0.30285,0.34344,0.89549,0.95676,0.96775,0.97091,0.88186,0.47849,0.33977,0.92192,0.008185,0.008185,0.008185
57,5370.88,0.29681,0.33979,0.89363,0.96079,0.95612,0.97061,0.88075,0.4904,0.355,0.93272,0.008152,0.008152,0.008152
58,5467.02,0.29248,0.33715,0.89458,0.95946,0.9502,0.97237,0.88726,0.47588,0.33626,0.92074,0.008119,0.008119,0.008119
59,5562.27,0.2996,0.3412,0.89492,0.94335,0.9626,0.96516,0.8794,0.4763,0.34334,0.92357,0.008086,0.008086,0.008086
60,5657.23,0.29191,0.33846,0.89507,0.97069,0.96718,0.97153,0.88818,0.48858,0.33415,0.92585,0.008053,0.008053,0.008053
61,5752.72,0.28817,0.33466,0.8924,0.94283,0.96463,0.96918,0.88573,0.49498,0.35029,0.93341,0.00802,0.00802,0.00802
62,5845.78,0.29247,0.33679,0.89355,0.95855,0.96821,0.96636,0.88351,0.47343,0.33404,0.91918,0.007987,0.007987,0.007987
63,5941.81,0.29032,0.33315,0.89388,0.96153,0.96142,0.97357,0.88959,0.47134,0.32277,0.92005,0.007954,0.007954,0.007954
64,6039.37,0.2786,0.32088,0.88929,0.94569,0.97159,0.96809,0.88924,0.47103,0.33271,0.91987,0.007921,0.007921,0.007921
65,6134.16,0.29073,0.32867,0.89389,0.94206,0.9583,0.96756,0.88964,0.46773,0.34331,0.92284,0.007888,0.007888,0.007888
66,6230.39,0.28472,0.32517,0.8897,0.9576,0.94941,0.96708,0.88509,0.4708,0.34239,0.92869,0.007855,0.007855,0.007855
67,6326.52,0.28983,0.32891,0.89065,0.94051,0.95677,0.96645,0.89454,0.44454,0.33952,0.90856,0.007822,0.007822,0.007822
68,6421.99,0.28471,0.32143,0.89051,0.95206,0.95435,0.96857,0.8877,0.46826,0.33411,0.92687,0.007789,0.007789,0.007789
