epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4307.25,0.29073,0.32948,0.89414,0.93634,0.94744,0.96094,0.8708,0.48427,0.37099,0.93783,0.008614,0.008614,0.008614
44,4413.07,0.28512,0.32514,0.89269,0.94277,0.94729,0.9646,0.87065,0.50741,0.36844,0.94629,0.008581,0.008581,0.008581
45,4519.71,0.28487,0.32629,0.88955,0.95296,0.9435,0.97025,0.88118,0.48305,0.34032,0.93563,0.008548,0.008548,0.008548
46,4626.05,0.28021,0.31799,0.88927,0.92598,0.95914,0.96632,0.87714,0.48463,0.3613,0.92749,0.008515,0.008515,0.008515
47,4731.13,0.28363,0.32204,0.89147,0.94074,0.94946,0.96722,0.87841,0.49078,0.3675,0.9326,0.008482,0.008482,0.008482
48,4835.96,0.2737,0.31017,0.88699,0.93682,0.94312,0.96688,0.87976,0.47924,0.36536,0.93428,0.008449,0.008449,0.008449
49,4940.05,0.27458,0.3123,0.88729,0.95181,0.95823,0.9689,0.88658,0.46923,0.35301,0.92006,0.008416,0.008416,0.008416
50,5045.75,0.27696,0.30965,0.88928,0.95254,0.97149,0.96993,0.88498,0.47343,0.33709,0.92496,0.008383,0.008383,0.008383
51,5151.11,0.2798,0.31394,0.88916,0.96423,0.94577,0.96937,0.88148,0.47208,0.34295,0.9141,0.00835,0.00835,0.00835
52,5257.15,0.26893,0.30279,0.88894,0.95602,0.9424,0.96736,0.87987,0.46542,0.33707,0.91713,0.008317,0.008317,0.008317
53,5363.22,0.27397,0.31748,0.88977,0.95273,0.95872,0.97021,0.88773,0.46374,0.33242,0.92355,0.008284,0.008284,0.008284
54,5468.37,0.26699,0.30159,0.88498,0.95603,0.94539,0.96927,0.89184,0.45162,0.34043,0.91329,0.008251,0.008251,0.008251
55,5572.96,0.27262,0.30507,0.88856,0.95777,0.96054,0.97136,0.88489,0.46532,0.3331,0.92303,0.008218,0.008218,0.008218
56,5677.66,0.2712,0.30072,0.88755,0.93863,0.97411,0.96979,0.88421,0.47439,0.33168,0.92263,0.008185,0.008185,0.008185
57,5782.64,0.26656,0.29603,0.8847,0.95233,0.95606,0.96948,0.89362,0.447,0.32382,0.91616,0.008152,0.008152,0.008152
58,5887.97,0.26119,0.29937,0.88521,0.9501,0.97128,0.97154,0.89069,0.456,0.31965,0.91929,0.008119,0.008119,0.008119
59,5991.69,0.26638,0.29901,0.88681,0.94113,0.95286,0.96234,0.89042,0.44619,0.35368,0.9127,0.008086,0.008086,0.008086
60,6099.01,0.26319,0.29951,0.88812,0.96186,0.93909,0.96162,0.87651,0.46263,0.3462,0.91815,0.008053,0.008053,0.008053
61,6204.52,0.26043,0.29341,0.88487,0.95279,0.96012,0.96801,0.89254,0.45443,0.33079,0.9121,0.00802,0.00802,0.00802
62,6309.13,0.26399,0.29583,0.88453,0.94572,0.95524,0.96985,0.89048,0.45763,0.34213,0.90938,0.007987,0.007987,0.007987
63,6414.32,0.26174,0.29253,0.88409,0.9552,0.96993,0.96822,0.89044,0.44949,0.336,0.91254,0.007954,0.007954,0.007954
64,6519.77,0.25177,0.28491,0.88113,0.95246,0.97503,0.97281,0.89394,0.44425,0.3259,0.9078,0.007921,0.007921,0.007921
65,6625.07,0.26039,0.29176,0.88424,0.96879,0.94286,0.97061,0.89749,0.44831,0.33582,0.90721,0.007888,0.007888,0.007888
66,6729.55,0.25594,0.28832,0.88149,0.96153,0.93706,0.96246,0.88937,0.4468,0.35224,0.90948,0.007855,0.007855,0.007855
67,6835.31,0.2576,0.28928,0.88155,0.95796,0.94171,0.96618,0.88764,0.45385,0.3309,0.91143,0.007822,0.007822,0.007822
68,6941.24,0.2575,0.28508,0.88271,0.95488,0.95697,0.96919,0.89035,0.4476,0.32258,0.91142,0.007789,0.007789,0.007789
69,7045.86,0.24853,0.27583,0.87852,0.95701,0.94659,0.96847,0.89666,0.43655,0.32241,0.90134,0.007756,0.007756,0.007756
70,7151.3,0.25046,0.28183,0.88102,0.94056,0.96118,0.96928,0.89437,0.45037,0.33112,0.90726,0.007723,0.007723,0.007723
71,7257.47,0.25259,0.28253,0.88019,0.95846,0.94819,0.96215,0.88507,0.45538,0.3382,0.92123,0.00769,0.00769,0.00769
72,7363.37,0.25469,0.28225,0.8846,0.96258,0.95461,0.96575,0.89587,0.44572,0.32213,0.91491,0.007657,0.007657,0.007657
73,7469.68,0.24548,0.28241,0.87798,0.95506,0.95877,0.96434,0.89159,0.44425,0.3297,0.91148,0.007624,0.007624,0.007624
74,7575.78,0.24395,0.26864,0.87729,0.94945,0.96052,0.96686,0.88914,0.44811,0.32965,0.9136,0.007591,0.007591,0.007591
75,7680.79,0.24682,0.27731,0.87792,0.95528,0.95929,0.96865,0.8953,0.43399,0.325,0.90425,0.007558,0.007558,0.007558
